bhk,area,price,age,type,locality,region,status
3,685,250.0,0,Apartment,Lak And Hanware The Residency Tower,Andheri West,Ready to move
2,640,52.51,0,Apartment,Radheya Sai Enclave Building No 2,Naigaon East,Under Construction
2,610,173.0,0,Apartment,Romell Serene,Borivali West,Under Construction
2,876,59.98,0,Apartment,Soundlines Codename Urban Rainforest,Panvel,Under Construction
2,659,94.11,0,Apartment,Origin Oriana,Mira Road East,Under Construction
2,826,330.0,0,Apartment,Bhoomi Simana Wing A Phase 1,Parel,Under Construction
5,2921,199.0,0,Villa,Agami Estancia,Boisar,Under Construction
3,778,289.0,0,Apartment,Sanghvi Infenia,Santacruz East,Under Construction
1,396,29.84,0,Apartment,Shubh Shreeji Heights,Badlapur East,Ready to move
2,671,272.0,0,Apartment,Aplite Greenstone Heritage,Fort,Under Construction
1,502,16.56,0,Studio Apartment,A Plus Golden Corner,Badlapur West,Under Construction
2,950,41.75,0,Apartment,Unimont Imperia,Khopoli,Under Construction
3,753,177.0,0,Apartment,Aayush Gulmohar,Chembur,Under Construction
2,605,155.0,0,Apartment,Roswalt Zaiden,Jogeshwari West,Under Construction
1,557,58.5,0,Apartment,Angel Falcon Emerald Dunlin,Vasai,Under Construction
2,635,83.0,0,Apartment,Proviso Sai Proviso Icon Greater Kharghar Roadpali,Kalamboli,Under Construction
1,450,139.0,0,Apartment,Godrej Urban Park,Powai,Under Construction
3,1259,280.0,0,Apartment,Aurum Q Island R4 AND R5,Ghansoli,Ready to move
2,555,142.0,0,Apartment,Raymond Raymond Realty TenX Habitat,Thane West,Under Construction
3,1274,420.0,0,Apartment,Asshna Seabliss,Andheri West,Under Construction
2,582,149.0,0,Apartment,Mayfair The View,Vikhroli,Under Construction
1,483,37.52,0,Apartment,Shakti Shree Siddhivinayak II,Bhiwandi,Under Construction
1,320,69.9,0,Apartment,Vardhan Heights,Chembur,Under Construction
1,396,42.99,0,Apartment,Puraniks Unicorn Phase 1,Thane West,Under Construction
2,638,126.0,0,Apartment,Pyramid Elements,Airoli,Under Construction
2,1047,49.58,0,Apartment,Tharwani Meghna Montana,Ambernath West,Under Construction
2,1080,57.24,0,Apartment,Dev Drashti Empire Phase 1,Bhiwandi,Ready to move
2,555,131.0,0,Apartment,B G Shirke Monte Verita West Tower,Borivali East,Under Construction
1,261,47.5,0,Apartment,Jindal Avenue,Panvel,Under Construction
2,594,34.5,0,Apartment,Walekar Homes,Ambernath West,Ready to move
1,445,34.14,0,Apartment,Sri Garden Avenue K,Virar,Under Construction
1,409,32.0,0,Apartment,Anant Residency,Panvel,Under Construction
4,1874,270.0,0,Apartment,Ravechi Shreeji Divine,Kharghar,Under Construction
1,450,54.99,0,Apartment,Shree ND Garden,Ulwe,Under Construction
3,859,137.0,0,Apartment,Neelkanth Auris,Panvel,Under Construction
2,720,131.0,0,Apartment,Shree Krupa Nandanvan Homes Building B,Thane West,Under Construction
1,404,58.0,0,Apartment,Tajjodin Taj Regency,Kamothe,Under Construction
2,604,144.0,0,Apartment,Avant Heritage III,Jogeshwari East,Under Construction
3,1116,285.0,0,Apartment,Kalpataru Kalpataru Elitus,Mulund West,Under Construction
1,701,30.99,0,Independent House,VBHC 47 Rowland Park,Palghar,Under Construction
3,902,259.0,0,Apartment,Sunteck City First Impression,Goregaon West,Under Construction
2,990,45.45,0,Apartment,Siddhivinayak Siddhivinayak Gaurav,Taloja,Under Construction
1,313,27.56,0,Apartment,A M Balaji Heights,Rasayani,Under Construction
1,409,30.15,0,Apartment,Sai Shrushti Vatika,Thane West,Under Construction
2,560,132.0,0,Apartment,Piramal S Class Homes,Mulund West,Under Construction
1,448,134.0,0,Apartment,Rishabraj Vicinia,Ghatkopar East,Under Construction
1,386,27.96,0,Apartment,Qualitas QN Greens Phase 1,Taloja,Ready to move
2,539,46.21,0,Apartment,Precious Group Precious Meadows,Ulhasnagar,Under Construction
3,1625,145.0,0,Apartment,Today Imperia,Ulwe,Ready to move
2,739,295.0,0,Apartment,Aplite Greenstone Heritage,Fort,Under Construction
1,635,20.95,0,Apartment,A Plus Golden Corner,Badlapur West,Under Construction
1,477,51.0,0,Apartment,Angel Falcon Emerald Dunlin,Vasai,Under Construction
2,515,124.0,0,Apartment,Raymond Raymond Realty TenX Habitat,Thane West,Under Construction
2,720,57.07,0,Apartment,Shakti Shree Siddhivinayak II,Bhiwandi,Under Construction
1,465,90.0,0,Apartment,Pyramid Elements,Airoli,Under Construction
1,261,47.49,0,Apartment,Jindal Avenue,Panvel,Under Construction
2,528,31.5,0,Apartment,Walekar Homes,Ambernath West,Ready to move
2,586,45.03,0,Apartment,Sri Garden Avenue K,Virar,Under Construction
2,563,42.0,0,Apartment,Anant Residency,Panvel,Under Construction
2,990,151.0,0,Apartment,Ravechi Shreeji Divine,Kharghar,Under Construction
2,709,113.99999999999999,0,Apartment,Neelkanth Auris,Panvel,Under Construction
4,1300,254.0,0,Apartment,Shree Krupa Nandanvan Homes Building B,Thane West,Under Construction
2,628,90.0,0,Apartment,Tajjodin Taj Regency,Kamothe,Under Construction
2,587,140.0,0,Apartment,Avant Heritage III,Jogeshwari East,Under Construction
3,1056,245.00000000000003,0,Apartment,Kalpataru Kalpataru Elitus,Mulund West,Under Construction
1,695,31.8,0,Apartment,Siddhivinayak Siddhivinayak Gaurav,Taloja,Under Construction
1,270,20.39,0,Studio Apartment,Sai Shrushti Vatika,Thane West,Under Construction
2,625,147.0,0,Apartment,Piramal S Class Homes,Mulund West,Under Construction
2,639,191.0,0,Apartment,Rishabraj Vicinia,Ghatkopar East,Under Construction
2,614,44.44,0,Apartment,Qualitas QN Greens Phase 1,Taloja,Ready to move
1,365,29.02,0,Apartment,Precious Group Precious Meadows,Ulhasnagar,Under Construction
1,750,57.0,0,Apartment,Tulip Empire,Ulwe,Under Construction
1,425,33.49,0,Apartment,Radheya Sai Enclave Building No 2,Naigaon East,Under Construction
3,845,235.0,0,Apartment,Romell Serene,Borivali West,Under Construction
1,473,69.65,0,Apartment,Origin Oriana,Mira Road East,Under Construction
2,618,50.5,0,Apartment,Radheya Sai Enclave Building No 2,Naigaon East,Under Construction
1,430,34.91,0,Apartment,Radheya Sai Enclave Building No 2,Naigaon East,Under Construction
1,425,36.0,0,Apartment,Ashapura Mokshit Majesta,Dombivali,Under Construction
2,651,56.0,0,Apartment,Ashapura Mokshit Majesta,Dombivali,Under Construction
3,946,138.0,0,Apartment,Origin Oriana,Mira Road East,Under Construction
2,667,94.99,0,Apartment,Origin Oriana,Mira Road East,Under Construction
2,682,97.14,0,Apartment,Origin Oriana,Mira Road East,Under Construction
3,1133,479.0,0,Apartment,Bhoomi Simana Wing A Phase 1,Parel,Under Construction
3,2187,149.0,0,Villa,Agami Estancia,Boisar,Under Construction
2,579,181.0,0,Apartment,Sanghvi Infenia,Santacruz East,Under Construction
2,486,36.0,0,Apartment,Shubh Shreeji Heights,Badlapur East,Ready to move
1,361,28.0,0,Apartment,Shubh Shreeji Heights,Badlapur East,Ready to move
1,377,28.2,0,Apartment,Shubh Shreeji Heights,Badlapur East,Ready to move
1,382,28.61,0,Apartment,Shubh Shreeji Heights,Badlapur East,Ready to move
1,535,17.65,0,Apartment,A Plus Golden Corner,Badlapur West,Under Construction
1,565,18.64,0,Apartment,A Plus Golden Corner,Badlapur West,Under Construction
1,380,13.68,0,Studio Apartment,A Plus Golden Corner,Badlapur West,Under Construction
1,345,19.91,0,Apartment,A Plus Golden Veda,Badlapur West,Ready to move
1,352,20.5,0,Apartment,A Plus Golden Veda,Badlapur West,Ready to move
1,294,16.0,0,Apartment,A Plus Golden Veda,Badlapur West,Ready to move
1,366,21.28,0,Apartment,A Plus Golden Veda,Badlapur West,Ready to move
1,333,19.33,0,Apartment,A Plus Golden Veda,Badlapur West,Ready to move
1,358,20.89,0,Apartment,A Plus Golden Veda,Badlapur West,Ready to move
1,372,21.67,0,Apartment,A Plus Golden Veda,Badlapur West,Ready to move
1,380,22.06,0,Apartment,A Plus Golden Veda,Badlapur West,Ready to move
1,675,30.0,0,Apartment,Unimont Imperia,Khopoli,Under Construction
2,970,42.75,0,Apartment,Unimont Imperia,Khopoli,Under Construction
1,605,26.5,0,Apartment,Unimont Imperia,Khopoli,Under Construction
1,555,24.0,0,Apartment,Unimont Imperia,Khopoli,Under Construction
1,665,29.5,0,Apartment,Unimont Imperia,Khopoli,Under Construction
1,615,27.0,0,Apartment,Unimont Imperia,Khopoli,Under Construction
2,975,43.0,0,Apartment,Unimont Imperia,Khopoli,Under Construction
1,535,22.0,0,Apartment,Unimont Imperia,Khopoli,Under Construction
1,545,23.5,0,Apartment,Unimont Imperia,Khopoli,Under Construction
2,930,41.0,0,Apartment,Unimont Imperia,Khopoli,Under Construction
1,565,24.5,0,Apartment,Unimont Imperia,Khopoli,Under Construction
2,543,128.0,0,Apartment,Aayush Gulmohar,Chembur,Under Construction
2,859,202.0,0,Apartment,Aayush Gulmohar,Chembur,Under Construction
2,590,139.0,0,Apartment,Aayush Gulmohar,Chembur,Under Construction
1,430,101.0,0,Apartment,Aayush Gulmohar,Chembur,Under Construction
2,705,166.0,0,Apartment,Aayush Gulmohar,Chembur,Under Construction
1,421,99.0,0,Apartment,Aayush Gulmohar,Chembur,Under Construction
2,610,156.0,0,Apartment,Roswalt Zaiden,Jogeshwari West,Under Construction
2,708,74.62,0,Apartment,Angel Falcon Emerald Dunlin,Vasai,Under Construction
2,691,72.81,0,Apartment,Angel Falcon Emerald Dunlin,Vasai,Under Construction
2,829,87.21,0,Apartment,Angel Falcon Emerald Dunlin,Vasai,Under Construction
2,680,71.01,0,Apartment,Angel Falcon Emerald Dunlin,Vasai,Under Construction
2,695,73.21,0,Apartment,Angel Falcon Emerald Dunlin,Vasai,Under Construction
2,749,79.89,0,Apartment,Angel Falcon Emerald Dunlin,Vasai,Under Construction
3,1014,106.0,0,Apartment,Angel Falcon Emerald Dunlin,Vasai,Under Construction
1,461,38.0,0,Apartment,Proviso SaiProviso County,Panvel,Under Construction
2,608,46.0,0,Apartment,Proviso SaiProviso County,Panvel,Under Construction
1,431,135.0,0,Apartment,Godrej Urban Park,Powai,Under Construction
1,454,63.0,0,Apartment,Proviso Sai Proviso Icon Greater Kharghar Roadpali,Kalamboli,Under Construction
1,490,58.0,0,Apartment,Proviso Sai Proviso Sapphire Greater Kharghar Roadpali,Kalamboli,Under Construction
2,1091,131.0,0,Apartment,Proviso Sai Proviso Sapphire Greater Kharghar Roadpali,Kalamboli,Under Construction
2,666,82.0,0,Apartment,Proviso Sai Proviso Sapphire Greater Kharghar Roadpali,Kalamboli,Under Construction
2,725,170.0,0,Apartment,Aurum Q Island R4 AND R5,Ghansoli,Ready to move
